,mispellings,actual word
131,achievements,acheivements
132,achievements,acheivments
133,achievements,achievments
134,achieves,acheives
135,achieving,acheiving
136,acquaintance,acquaintence
137,acquaintance,acquiantence
138,acquaintance,aquaintance
139,acquaintance,aquiantance
140,acquaintances,acquaintences
141,acquaintances,acquiantences
142,acquainted,aquainted
143,acquire,adquire
144,acquire,aquire
145,acquired,adquired
146,acquired,aquired
147,acquires,adquires
148,acquiring,adquiring
149,acquiring,aquiring
150,acquisition,aquisition
151,acquitted,acquited
152,acquitted,aquitted
153,across,accross
154,actually,actualy
155,adaptation,adaption
156,adaptations,adaptions
157,address,addres
158,additionally,additinally
159,address,adres
160,address,adress
161,addressable,addresable
162,addressable,adresable
163,addressable,adressable
164,addressing,addresing
165,addressing,adresing
166,dressing,adressing
167,adequate,adecuate
168,adhering,adhearing
169,administrate,adminstrate
170,administration,adminstration
171,administrative,adminstrative
172,admissibility,admissability
173,admissible,admissable
174,admission,addmission
175,adolescent,adolecent
176,adopt,addopt
177,adopted,addopted
178,adoptive,addoptive
179,advertisement,advertisment
180,advertisements,advertisments
181,advised,adviced
182,aerial,aeriel
183,aerials,aeriels
184,effort,affort
185,effort,efford
186,efforts,effords
187,aficionado,afficionado
188,aficionados,afficionados
189,again,agian
190,vagina,agina
191,aggravate,agravate
192,aggregate,agregate
193,aggregates,agregates
194,aggression,agression
195,aggressive,agressive
196,aggressively,agressively
197,aggrieved,agrieved
198,agree,agre
199,agreed,agred
200,agreeing,agreing
201,agreement,aggreement
202,agriculturist,agriculturalist
203,airborne,airbourne
204,airports,airporta
205,alcohol,alchohol
206,alcoholic,alcoholical
207,algebraic,algebraical
208,algorithm,algoritm
209,algorithms,algoritms
210,allege,alege
211,allege,alledge
212,alleged,aleged
213,alleged,alledged
214,alleges,alledges
215,allegiance,alegience
216,allegiance,allegience
217,alleviate,alliviate
218,allophone,allopone
219,allophones,allopones
220,allotted,alotted
221,illusion,alusion
222,almost,almsot
223,almost,alomst
224,already,alreayd
225,also,alsot
226,also,aslo
227,although,altho
228,although,althought
229,although,altough
230,always,alwasy
231,always,alwyas
232,armature,amature
233,amend,ammend
234,amendment,admendment
235,amendment,amendmant
236,amendment,ammendment
237,among,amoung
238,annual,anual
239,analogous,analagous
240,analogous,analogeous
241,analytic,analitic
242,and,anbd
243,androgynous,androgenous
244,androgyny,androgeny
245,annihilation,anihilation
246,announced,anounced
247,annulled,annuled
248,anoint,annoint
249,anointed,annointed
250,anointing,annointing
251,anoints,annoints
252,anomalies,anomolies
253,anomalous,anomolous
254,anomaly,anomoly
255,anonymity,anonimity
256,anything,anytying
257,anywhere,anyhwere
258,apart,appart
259,apartment,appartment
260,apartments,appartments
261,apologetics,apolegetics
262,apologies,appologies
263,apology,appology
264,appealing,appealling
265,apparent,aparent
266,apparent,apparant
267,appearance,appearence
268,appearances,appearences
269,application,aplication
270,appreciate,apprieciate
271,approaches,approachs
272,appropriate,appropiate
273,approximately,approximitely
274,approximately,aproximately
275,upon,apon
276,arbitrarily,arbitarily
277,arbitrary,arbitary
278,archeologist,archeaologist
279,archeologists,archeaologists
280,archeology,archaoelogy
281,archeology,archaology
282,archetype,archtype
283,archetypes,archtypes
284,architect,archetect
285,architects,archetects
286,architectural,archetectural
287,architecturally,archetecturally
288,architecture,archetecture
289,arrangement,arangement
290,erected,erested
291,article,artical
292,article,articel
293,artificial,artifical
294,artificially,artifically
295,artillery,artillary
296,ascetic,asetic
297,expects,spects
298,assassin,assasin
299,assassinate,assasinate
300,assassinated,assasinated
301,assassinates,assasinates
302,assassination,assasination
303,assassinations,assasinations
304,assassins,assasins
305,assemble,assemple
306,assistant,assitant
307,associated,asociated
308,asteroid,asteriod
309,asymmetric,assymetric
310,atheistic,atheistical
311,attained,attaindre
312,attempt,attemt
313,attempted,attemted
314,attempting,attemting
315,attempts,attemts
316,attendance,attendence
317,attendant,attendent
318,attendants,attendents
319,attitude,attitide
320,attribute,atribute
321,attributes,atributes
322,audience,audeince
323,author,autor
324,autobiographic,authobiographic
325,autobiography,authobiography
326,auxiliary,auxilliary
327,available,avalable
328,available,avaliable
329,averaged,averageed
330,aviation,avation
331,away,awya
332,backward,ackward
333,back,bakc
334,back,bcak
335,bandwidth,bandwith
336,bankruptcy,bankrupcy
337,barbecue,barbeque
338,basically,basicaly
339,basically,basicly
340,beautiful,beatiful
341,beautiful,beautyfull
342,became,becamae
343,because,beacuse
344,because,becasue
345,because,becouse
346,because,becuase
347,becoming,becomming
348,before,befoer
349,begin,beggin
350,beginner,begginer
351,beginners,begginers
352,beginning,beggining
353,beginning,begining
354,beginning,beginnig
355,beginnings,begginings
356,behaviour,behavour
357,belief,beleif
358,believes,belives
359,believe,beleive
360,believed,beleived
361,believes,beleives
362,believing,beleiving
363,beneficial,benificial
364,beneficiary,beneficary
365,benefit,benifit
366,benefits,benifits
367,besiege,beseige
368,besieged,beseiged
369,besieging,beseiging
370,bestiality,beastiality
371,between,vetween
372,bilaterally,bilateraly
373,binomial,binominal
374,blame,blaim
375,blamed,blaimed
376,blessing,blessure
377,boundary,bondary
378,boundary,boundry
379,breakthrough,breakthough
380,brilliant,briliant
381,broadly,broady
382,buffaloes,buffalos
383,buffalos,buffaloes
384,bureaucracy,beaurocracy
385,during,buring
386,business,buisness
387,businesses,busineses
388,business,busness
389,caisson,casion
390,calculate,caluclate
391,calculate,caluculate
392,calculate,calulate
393,calculated,caluclated
394,calculated,caluculated
395,calculated,calulated
396,calendar,calender
397,calligraphy,caligraphy
398,campaign,campain
399,campaigns,campains
400,cant,cant
401,candidate,candadate
402,canister,cannister
403,canisters,cannisters
404,canonical,cannonical
405,capability,caperbility
406,caring,careing
407,carnivorous,carniverous
408,cartilage,cartilege
409,cartilage,cartilidge
410,cartographer,carthographer
411,cartridge,cartrige
412,cassette,casette
413,cassowary,cassawory
414,cassowary,cassowarry
415,casualties,casulaties
416,casualties,causalities
417,casualty,casulaty
418,categories,catagories
419,category,catagory
420,caterpillar,catterpilar
421,caterpillars,catterpilars
422,catholic,cathlic
423,cemeteries,cemetaries
424,cemetery,cemetarey
425,cemetery,cemetary
426,censure,censur
427,censure,sensure
428,census,cencus
429,centuries,centruies
430,century,centruy
431,ceremonial,cerimonial
432,ceremonies,cerimonies
433,ceremonious,cerimonious
434,ceremony,cerimony
435,keratin,ceratin
436,certainty,certainity
437,servile,cervial
438,chairman,chariman
439,character,carachter
440,character,charachter
441,characteristics,charistics
442,characterized,charaterized
443,characters,charachters
444,charismatic,carismatic
445,chaser,chasr
446,sheet,sheat
447,chemical,chemcial
448,chemically,chemcially
449,chemically,chemicaly
450,chemistry,chemestry
451,chief,cheif
452,childbirth,childbird
453,children's,childrens
454,chosen,choosen
455,church,curch
456,circuit,ciricuit
457,civilian,civillian
458,claims,claimes
459,clear,claer
460,sclera,clera
461,clearance,cleareance
462,clearer,claerer
463,clearly,claerly
464,clinical,clincial
465,clinically,clinicaly
466,could,coudl
467,coast,caost
468,collateral,colateral
469,colleague,collegue
470,colleagues,collegues
471,collectible,collectable
472,colonies,collonies
473,colonnade,collonade
474,colony,collony
475,coloration,colouration
476,colossal,collosal
477,colouration,coloration
478,comeback,comback
479,coming,comming
480,commander,comander
481,commando,comando
482,commandos,comandos
483,commandos,commandoes
484,commemorated,commmemorated
485,commemorative,commemerative
486,commercial,commericial
487,commercially,commericially
488,commission,comision
489,commission,comission
490,commission,commision
491,commissioned,comisioned
492,commissioned,comissioned
493,commissioned,commisioned
494,commissioner,comisioner
495,commissioner,comissioner
496,commissioner,commisioner
497,commissioning,comisioning
498,commissioning,comissioning
499,commissioning,commisioning
500,commissions,comisions
501,commissions,comissions
502,commissions,commisions
503,committed,comited
504,committed,comitted
505,committed,commited
506,committee,comittee
507,committee,commitee
508,committee,committe
509,committing,comiting
510,committing,comitting
511,committing,commiting
512,commonly,commongly
513,communication,communciation
514,comparative,comparitive
515,comparison,comparision
516,compatibility,compatiblity
517,competence,competance
518,competent,competant
519,competent,compitent
520,completion,competion
521,competitive,competive
522,compiler,complier
523,comprehensive,comphrehensive
524,compromise,comprimise
525,concentrate,consentrate
526,concentrated,consentrated
527,concentrates,consentrates
528,concept,consept
529,concern,consern
530,concerned,conserned
531,concerning,conserning
532,condemned,condemmed
533,condition,condidtion
534,conditions,condidtions
535,confidential,confidental
536,confidentially,confidentally
537,conform,coform
538,congressional,congresional
539,conjecture,conjecutre
540,connived,conived
541,connotation,cannotation
542,connotations,cannotations
543,conqueror,conquerer
544,conquerors,conquerers
545,conscious,concious
546,consciously,conciously
547,consciousness,conciousness
548,consensus,concensus
549,consent,conscent
550,conservative,conservitive
551,consider,concider
552,consider,consdider
553,considered,concidered
554,considered,consdidered
555,considered,considerd
556,considers,conciders
557,consolidate,consolodate
558,consolidated,consolodated
559,consonant,consonent
560,consonants,consonents
561,consortium,consorcium
562,constant,constatn
563,constantly,constanly
564,constituencies,consituencies
565,constituency,consituency
566,constituent,constituant
567,constituents,constituants
568,constitution,consitution
569,constitution,constituion
570,constitution,costitution
571,constitutional,consitutional
572,constitutional,constituional
573,constraints,constaints
574,construction,constuction
575,consummate,consumate
576,consummated,consumated
577,contains,containes
578,contains,countains
579,contaminate,contaiminate
580,contemporary,contemporaneus
581,contemporaries,contamporaries
582,contemporary,contamporary
583,continuing,continueing
584,continuous,continous
585,continuously,continously
586,contributor,contributer
587,contributors,contributers
588,control,controll
589,controlled,controled
590,controlling,controling
591,controls,controlls
592,controversial,contravercial
593,controversial,controvercial
594,controversies,controveries
595,controversy,contraversy
596,controversy,controvercy
597,controversy,controvery
598,convenient,conveinent
599,convenient,convienient
600,conventional,convential
601,conversion,convertion
602,coveted,coverted
603,converter,convertor
604,converters,convertors
605,conveyor,conveyer
606,corporation,coorperation
607,coordination,coordiantion
608,coy,cpoy
609,copyright,copywrite
610,corporate,corparate
611,correspond,corrispond
612,corresponded,corrisponded
613,correspondent,correspondant
614,correspondent,corrispondant
615,correspondents,correspondants
616,correspondents,corrispondants
617,corresponding,correponding
618,corresponding,correposding
619,corresponding,corrisponding
620,corresponds,corrisponds
621,corrosion,corosion
622,sold,sould
623,counselor,councellor
624,counselors,councellors
625,countries,ocuntries
626,country,ocuntry
627,couturier,coururier
628,covenant,convenant
629,created,creaeted
630,criterion,critereon
631,criticize,critisize
632,criticized,critisized
633,criticizes,critisizes
634,criticizing,critising
635,criticizing,critisizing
636,criticism,critisism
637,criticisms,critisisms
638,critics,criticists
639,crucifixion,crucifiction
640,cruises,crusies
641,culminating,culiminating
642,cumulative,cumulatative
643,currently,currenly
644,cyan,cxan
645,dial,dael
646,doubt,doub
647,de_rigueur,de_rigeur
648,debatable,debateable
649,deceived,decieved
650,decidable,decideable
651,decide,deside
652,decidedly,decidely
653,insidious,ecidious
654,decipher,decypher
655,deciphered,decyphered
656,decision,descision
657,decisions,descisions
658,decompose,decomposit
659,decomposed,decomposited
660,decomposes,decomposits
661,decomposing,decompositing
662,defiance,definance
663,define,deffine
664,defined,deffined
665,definite,definate
666,definite,definit
667,definitely,definately
668,definitely,definatly
669,definitely,definetly
670,definitely,definitly
671,deities,dieties
672,deity,diety
673,demeanour,damenor
674,demeanour,demenor
675,demographic,demographical
676,denigrating,denegrating
677,dependence,dependance
678,dependency,dependancy
679,dependent,dependant
680,derived,deriviated
681,derived,dirived
682,derogatory,derogitory
683,descendant,decendant
684,descendant,descendent
685,descendants,decendants
686,descendants,decendents
687,descendants,descendents
688,describe,decribe
689,describe,discribe
690,described,decribed
691,described,discribed
692,describes,decribes
693,describes,discribes
694,describing,decribing
695,describing,discribing
696,desiccated,dessicated
697,designed,desgined
698,designed,dessigned
699,desirable,desireable
700,despair,dispair
701,disparate,desparate
702,desperation,despiration
703,despicable,dispicable
704,despite,dispite
705,story,stroy
706,destructive,distructive
707,detached,detatched
708,detailed,detailled
709,determining,determinining
710,detrimental,detremental
711,develop,develope
712,developed,developped
713,development,devolopement
714,device,divice
715,didn't,didnt
716,idea,diea
717,different,diferent
718,different,diferrent
719,different,diffrent
720,difficulties,dificulties
721,difficulty,dificulty
722,dimension,dimention
723,dimensions,dimenions
724,dimensions,dimentions
725,diphthong,diphtong
726,diphthong,dipthong
727,diphthongs,diphtongs
728,diphthongs,dipthongs
729,directly,driectly
730,disagreement,dissagreement
731,disappear,dissapear
732,disappear,dissappear
733,disappeared,dissapeared
734,disappearing,dissapearing
735,disappears,dissapears
736,disappears,dissappears
737,disapproval,disaproval
738,disaster,diaster
739,disastrous,disasterous
740,discontent,discontentment
741,discover,dicover
742,discovered,dicovered
743,discovering,dicovering
744,discovers,dicovers
745,discovery,dicovery
746,discuss,descuss
747,disintegrated,desintegrated
748,disintegration,desintegration
749,disobedience,disobediance
750,disobedience,dissobediance
751,disobedience,dissobedience
752,disobedient,disobediant
753,disobedient,dissobediant
754,disobedient,dissobedient
755,disparagingly,disparingly
756,dispense,dispence
757,dispensed,dispenced
758,dispensing,dispencing
759,dissatisfaction,disatisfaction
760,dissatisfied,disatisfied
761,dissemination,disemination
762,dissolved,disolved
763,distinguish,distingish
764,distinguished,distingished
765,distinguishes,distingishes
766,distinguishing,distingishing
767,diverse,diversed
768,divide,devide
769,divided,devided
770,division,divison
771,divisions,divisons
772,document,doccument
773,documented,doccumented
774,documents,doccuments
775,does,doens
776,doesn't,doesnt
777,doing,doign
778,doing,donig
779,dominant,dominent
780,dominant,dominiant
781,dream,deram
782,dramatic,dramtic
783,dreams,dreasm
784,drink,drnik
785,drumming,druming
786,dukedom,dukeship
787,during,durring
788,dying,dieing
789,earned,earnt
790,electric,electic
791,eclipse,eclispe
792,efficient,effecient
793,efficient,efficent
794,efficiently,effeciently
795,efficiently,efficently
796,effluence,effulence
797,eighth,eigth
798,electron,electon
799,electrical,electrial
800,electrically,electricly
801,electricity,electricty
802,elementary,elimentary
803,elephant,elphant
804,elicited,elicided
805,eligible,eligable
806,eliminated,eleminated
807,eliminating,eleminating
808,else,esle
809,emanate,eminate
810,embarrass,embarass
811,embarrass,embarras
812,embarrassed,embarassed
813,embarrassed,embarrased
814,embarrassing,embarassing
815,embarrassing,embarrasing
816,embarrassment,embarassment
817,embarrassment,embarrasment
818,embezzled,embezelled
819,immigrant,imigrant
820,emigrated,emmigrated
821,immigrated,imigrated
822,immigration,imigration
823,imminent,emminent
824,imminent,imanent
825,imminent,iminent
826,eminently,emminently
827,emissaries,emmisaries
828,emissaries,emmisarries
829,emissary,emmisarry
830,emissary,emmisary
831,emission,emision
832,emotion,emition
833,emission,emmision
834,emitted,emited
835,emitted,emmited
836,emitted,emmitted
837,emitting,emiting
838,emitting,emmiting
839,emitting,emmitting
840,emphysema,emphysyma
841,empirical,emperical
842,imperial,empirial
843,enamored,enamoured
844,enamoured,enamored
845,encryption,encryptiion
846,engineer,engeneer
847,engineer,engieneer
848,engineering,engeneering
849,engineers,engieneers
850,enlargement,enlargment
851,enlargements,enlargments
852,enmity,emnity
853,enormous,enourmous
854,enormously,enourmously
855,entertaining,intertaining
856,entrepreneur,entrepeneur
857,entrepreneurs,entrepeneurs
858,innumerable,inumerable
859,environment,enviorment
860,environment,enviornment
861,environment,enviroment
862,environmental,enviormental
863,environmental,enviornmental
864,environmental,enviromental
865,environmentalist,enviornmentalist
866,environmentalist,enviromentalist
867,environmentally,enviormentally
868,environmentally,enviornmentally
869,environmentally,enviromentally
870,environments,enviorments
871,environments,enviornments
872,environments,enviroments
873,equatorial,equitorial
874,equilibrium,equilibium
875,equilibrium,equilibrum
876,equipment,equippment
877,equipped,equiped
878,erratic,eratic
879,erratically,eraticly
880,essence,essense
881,essential,esential
882,essential,essencial
883,essential,essentual
884,essential,essesital
885,those,ethose
886,every,eveyr
887,evidently,evidentally
888,evil,efel
889,exacerbate,exerbate
890,exacerbated,exerbated
891,exaggerate,exagerate
892,exaggerate,exagerrate
893,exaggerated,exagerated
894,exaggerated,exagerrated
895,exaggerates,exagerates
896,exaggerates,exagerrates
897,exaggerating,exagerating
898,exaggerating,exagerrating
899,exalted,exhalted
900,example,exemple
901,example,exmaple
902,exceeded,excedded
903,excel,excell
904,excellent,exelent
905,excels,excells
906,excerpt,exerpt
907,excerpts,exerpts
908,execute,excecute
909,executed,excecuted
910,executes,excecutes
911,executing,excecuting
912,execution,excecution
913,exempt,exampt
914,exerted,extered
915,exhibition,exibition
916,exhibitions,exibitions
917,existence,existance
918,existent,existant
919,exoskeleton,exoskelaton
920,expel,expell
921,expels,expells
922,explain,expalin
923,exploitative,exploititive
924,extinct,extint
925,external,exerternal
926,extraordinarily,extrordinarily
927,extraordinary,extrordinary
928,extraterrestrial,extraterrestial
929,extravagant,extravagent
930,years,eyars
931,facilitate,faciliate
932,facilitated,faciliated
933,most_famous,famoust
934,fanaticism,fanatism
935,fascinated,facinated
936,feasible,feasable
937,phial,fiel
938,phials,fiels
939,fictitious,ficticious
940,fictitious,fictious
941,filament,filiament
942,finally,fianlly
943,finally,finaly
944,financially,financialy
945,find,fidn
946,flirts,firts
947,freed,fleed
948,flourish,fluorish
949,fluorescent,florescent
950,forbade,forbad
951,forehead,forhead
952,foreign,foriegn
953,foremost,formost
954,forerunner,forunner
955,forfeit,forfiet
956,from,fomr
957,formalize,formallize
958,formalized,formallized
959,forty,fourty
960,fought,faught
961,fought,fougth
962,found,foudn
963,foundries,foundaries
964,foundry,foundary
965,friend,freind
966,friends,firends
967,fundamental,fundametal
968,fundamentals,fundametals
969,fungi,funguses
970,further,furuther
971,gases,gasses
972,genealogies,geneologies
973,genealogy,geneology
974,generally,generaly
975,genitalia,genialia
976,goddess,godess
977,goddesses,godesses
978,going,goign
979,going,gonig
980,ogling,oging
981,guard,gaurd
982,government,goverment
983,government,govorment
984,governmental,govermental
985,governmental,govormental
986,governor,gouvener
987,governor,governer
988,graffiti,grafitti
989,grammar,grammer
990,grammatically,gramatically
991,grammatically,grammaticaly
992,grateful,greatful
993,gratefully,greatfully
994,gratuitous,gratuitious
995,great,gerat
996,great,graet
997,great,grat
998,grief,greif
999,group_sex,groupsex
1000,grow,grwo
1001,guanine,gunanine
1002,guarantee,guarentee
1003,guaranteed,garanteed
1004,guaranteed,guarenteed
1005,guaranteed,guranteed
1006,guarantees,guarentees
1007,guerrilla,guerrila
1008,guerrillas,guerrilas
1009,guidance,guidence
1010,guttural,guttaral
1011,guttural,gutteral
1012,habeas,habaeus
1013,habeas,habeus
1014,happen,ahppen
1015,happen,hapen
1016,happened,hapened
1017,happened,happended
1018,happening,hapening
1019,harass,harras
1020,harass,harrassing
1021,harassed,harased
1022,harassed,harrased
1023,harasses,harases
1024,harasses,harrases
1025,harassing,harrasing
1026,harassment,harasment
1027,harassment,harrasment
1028,hare,hace
1029,have,ahev
1030,have,ahve
1031,heave,haev
1032,have,hvae
1033,heave,hvea
1034,having,hvaing
1035,inheritance,inheritage
1036,heroes,heros
1037,heterogeneous,heterogenous
1038,wholly,wholy
1039,hydrophilic,hydropilic
1040,hydrophobic,hydropobic
1041,hygiene,hygeine
1042,hypocrisy,hypocracy
1043,hypocrisy,hypocrasy
1044,hypocrisy,hypocricy
1045,hypocrite,hypocrit
1046,hypocrites,hypocrits
1047,iconoclastic,iconclastic
1048,idea,idae
1049,ideas,idaes
1050,ides,idesa
1051,identical,identicial
1052,ideologies,idealogies
1053,ideology,idealogy
1054,idiosyncratic,ideosyncratic
1055,illegitimacy,illegimacy
1056,illegitimate,illegitmate
1057,illogical,ilogical
1058,illusion,illution
1059,imaginary,imaginery
1060,imaginary,imagenary
1061,imagine,imagin
1062,imbalance,inbalance
1063,imitate,immitate
1064,imitated,immitated
1065,imitating,immitating
1066,imitator,immitator
1067,immediately,emmediately
1068,immediately,imediately
1069,immediately,immediatley
1070,immediately,immidately
1071,immediately,immidiately
1072,immense,imense
1073,immigrant,inmigrant
1074,immigrants,inmigrants
1075,impeach,inpeach
1076,impedance,impedence
1077,impolite,inpolite
1078,imprisonment,inprisonment
1079,improvisation,improvision
1080,in_spite,inspite
1081,inaccessible,inaccessable
1082,inappropriate,inappropiate
1083,incompatibility,incompatiblity
1084,incompetence,incompetance
1085,incompetent,incompetant
1086,incorporation,incorperation
1087,incorruptible,incorruptable
1088,incredible,increadible
1089,incredible,incredable
1090,incunabula,incunabla
1091,indefinitely,indefinately
1092,indefinitely,indefinitly
1093,independence,independance
1094,independence,independece
1095,independent,independant
1096,independent,indipendent
1097,independent,indpendent
1098,independently,indepedantly
1099,independently,independantly
1100,independently,indipendently
1101,independently,indpendently
1102,indict,indite
1103,indispensable,indispensible
1104,indisputable,indisputible
1105,indisputably,indisputibly
1106,indulge,indulgue
1107,industrial,indutrial
1108,inevitable,inevatible
1109,inevitable,inevitible
1110,infectious,infectuous
1111,infiltrate,infilitrate
1112,infiltrated,infilitrated
1113,infinite,infinit
1114,inflammation,inflamation
1115,influenced,influented
1116,influential,influencial
1117,information,infomation
1118,ingredients,ingreediants
1119,inhabitant,habitant
1120,inhabitants,habitants
1121,initiation,initation
1122,innocence,inocence
1123,insistence,insistance
1124,instance,instatance
1125,instead,instade
1126,institution,insitution
1127,institutions,insitutions
1128,integrated,intergrated
1129,integration,intergration
1130,intellectual,intelectual
1131,intelligence,inteligence
1132,intelligent,inteligent
1133,interbreed,interbread
1134,interchangeably,interchangably
1135,interest,intrest
1136,international,internation
1137,interpret,interpet
1138,interregnum,interrugum
1139,interrelated,interelated
1140,interrupt,interupt
1141,into,inot
1142,introduce,inctroduce
1143,introduced,inctroduced
1144,intuitive,intutive
1145,intuitively,intutively
1146,inventor,inventer
1147,invertebrates,invertibrates
1148,involvement,involvment
1149,ironically,ironicly
1150,irrelevant,irelevent
1151,irresistible,iresistable
1152,irresistible,iresistible
1153,irresistible,irresistable
1154,irresistibly,iresistably
1155,irresistibly,iresistibly
1156,irresistibly,irresistably
1157,irritable,iritable
1158,irritated,iritated
1159,isn't,isnt
1160,jeopardy,jeapardy
1161,journeys,journies
1162,judicial,judical
1163,judiciary,judisuary
1164,just,jstu
1165,just,jsut
1166,kindergarten,kindergarden
1167,know,knwo
1168,know,konw
1169,know,kwno
1170,know,nkow
1171,know,nkwo
1172,knowledge,knowlege
1173,knowledgeable,knowledgable
1174,knowledgeable,knowlegeable
1175,knows,knwos
1176,knows,konws
1177,laboratory,labratory
1178,laid,layed
1179,language,laguage
1180,languages,laguages
1181,larvae,lavae
1182,last,lsat
1183,lavatory,labatory
1184,life,lief
1185,learn,leanr
1186,learn,leran
1187,learns,lerans
1188,led,leaded
1189,legitimate,legitamate
1190,leisure,liesure
1191,length,lenght
1192,level,levle
1193,levitate,levetate
1194,levitated,levetated
1195,levitates,levetates
1196,levitating,levetating
1197,libel,lible
1198,libel,libell
1199,library,libary
1200,license,lisence
1201,license,lisense
1202,licensed,licenced
1203,licensing,licencing
1204,lieutenant,leutenant
1205,light_year,lightyear
1206,light_year,lightyears
1207,like,liek
1208,like,liuke
1209,liked,liekd
1210,likelihood,likelyhood
1211,linguistic,libguistic
1212,linguistics,libguistics
1213,liquefy,liquify
1214,literature,litature
1215,literature,literture
1216,little,littel
1217,lively,livley
1218,loneliness,lonelyness
1219,lonely,lonley
1220,only,lonly
1221,losing,loosing
1222,love,loev
1223,love,lveo
1224,love,lvoe
1225,lying,lieing
1226,marked,maked
1227,magnolia,magolia
1228,maintenance,maintainance
1229,maintenance,maintainence
1230,maintenance,maintance
1231,maintenance,maintenence
1232,majority,marjority
1233,make,amke
1234,make,mkae
1235,make,mkea
1236,makes,makse
1237,makes,mkaes
1238,making,amking
1239,making,mkaing
1240,mammal,mamal
1241,mammalian,mamalian
1242,management,managment
1243,manoeuvre,manouver
1244,manoeuvre,manuever
1245,manoeuvrability,manoeuverability
1246,manoeuvrability,manouverability
1247,manoeuvrable,manouverable
1248,manoeuvres,manouvers
1249,manoeuvres,manuevers
1250,manufacture,manufature
1251,manufactured,manufatured
1252,manufacturing,manufaturing
1253,wear,mear
1254,marketing,marketting
1255,marriage,marrage
1256,marriage,marraige
1257,married,marryied
1258,mass_media,massmedia
1259,mathematician,mathmatician
1260,mathematicians,matheticians
1261,mathematicians,mathmaticians
1262,mathematics,mathamatics
1263,medieval,medeival
1264,medicine,medacine
1265,member,memeber
1266,mentioned,maintioned
1267,messenger,messanger
1268,metallic,metalic
1269,metallurgic,metalurgic
1270,metallurgical,metalurgical
1271,metallurgy,metalurgy
1272,metamorphosis,metamorphysis
1273,midwives,midwifes
1274,milieu,mileau
1275,milieu,mileu
1276,military,millitary
1277,millennium,milennium
1278,millennium,millenium
1279,millipede,millepede
1280,miniature,minature
1281,ministry,ministery
1282,minuscule,miniscule
1283,miscellaneous,miscelaneous
